,date,title,main,comments,"_summary_
                        looks_count",likes_count,comments_count,looks_count
0,06-30, 코스피 야선은 양전했네,코스피 야선307.75,"제바아아아아아ㅏ아아아아알료..
",157,3,1,
1,06-30,"미국은 또 왜 저러냐..,",아 진짜 미친듯이 떨어진다ㅠ,"게속 떨어져서 세상이 멸망했으면 좋겠다!!TQ 1달러 되는 그날까지!! 
",211,1,1,
2,06-30,미장 현재 수익률 및 손실률 투표해보자,국장말고 미장만했을때 계좌 전체 수익률 및 손실률이야 형들앞에 플러스마이너스 부호 잘봐 투표참여117 하나만 선택할 수 있습니다.,"마10정도인데, 환율때문에 이익
",310,0,1,
3,06-30,은행 대출 궁금한거! ,은행 대출 상품같은거를 지인들한테 기존에금리보다 더 싸게 대출할수있도록도 가능한거야?!예를들어 5프로 상품인데 3프로로 낮춰서 한다던가?!,"뭔 말이여 특판 말하는겨?
본부승인대출같은거!
5잉데 3운 힘들
아하 형 혹시 쪽지해도되여??
일부조정은 가능하지
쪽지 환영~!!
",95,0,6,
4,06-30,원유 떡락 가즈아!!!!!,밑에 사람있어요!!!!! 어프푸풉,"형 성투하고있어? 너구리에서 물먹고 스큐 너굴디로 복구중ㅋㅋ한동안 더 떨어질꺼같은데 형생각은 어떰?
개같이 물려있지만급격한 떡락 시그널이 올려면 뭔 사건이 터져야 하는데부동산이나 위험상품들은 옛날에 데이고 나서 대책이 다 되어있고 암호화폐 몰락도 실물경제에 별루 영향이 없어서신흥국 파산 하는 꼴들 보면 될거 같음걔네들 터지기 시작하면 이제 연속으로 터지기 시작할거 같은데IMF 애들이 비둘긔 느낌으루다 나오면 느린하락매파 빙의해서 잡아조지면 이제 리먼2탄 볼 가능성도 조심스레 점쳐봄 
",119,0,2,
5,06-30,나스닥,진짜이유가뭐냐,"뭐 경기침체로 해석하는거지어짜피 뭐가나오던 메쟈 가고싶은 방향으로 가겠지 
파월이 그랬나?경기침체 각오하고 물가 잡겠다고그냥 다 현금화시켜 왜 들고있는지 ㅉㅉ 
ㅋㅋ이분 최소 평생 월급쟁이
조때네 지금 나스닥이랑 비트코인 ㅋㅋ
",315,1,4,
6,,,,,,,,
7,,,,,,,,
8,06-30,보고싶어서 잠이안오네,오래기다렸니 쏙슬아…. 티큐야,"아 웃을 힘 없는데 웃기네 ...
내 인생이 비극인줄알았는데 코미디였어
얘들은 암호화폐들 아님,?
그냥 저 비트코인그림 대신에 T 들어가있다 생각해
",342,4,4,
9,,,,,,,,
10,06-30,우왕 나 부자닷,TQ 2000개!!SOXL 1200개넹!!다음달 TQ 3000개 채울듯!!,"부자되자
수량에 집중하자
",170,2,2,
