,date,title,main,comments,"_summary_
                        looks_count",likes_count,comments_count,looks_count
0,06.18,여의도 증권가 사람들 표정안좋던데..,투자증권이나 운용사 형들은 손실나면 자기가 메꿔야돼..?,"펀드면 괜찮을것 같고그런거 아니면 해고지 
와 바로 해고..? 책상 사라지는 그런건가..!?
계약 기간 끝나면 연장 안해줄테니..
ㅜㅜ
증권사, 운용사 사람들 걱정 하는건 연예인 걱정하는 것보다 더 바보 짓임
점심에 밥만 잘먹고 표정 좋던데
인센이 줄어드는거지 남 돈가지고 굴리는데 뭔 상관ㅋㅋ
수익율이 안좋으면 해고대상
처음듣는 소린데요,,?ㅋㅋ
슈카도 그러던데 손실한도 넘으면 쉬다오라한다고
직무에 따라 달라요. 슈카님은 프랍아니신가요..?
","1,266",0,11,
1,06.18,"난 괜찮아,,",난 정말 괞찮ㅇ ㅏ..,"
ㄷㄷ
",897,0,2,
2,06.18,삼성전자vsASML,둘 중 하나 투자한다면난 ASML 투표참여92 하나만 선택할 수 있습니다.,0,402,0,10,
3,06.18,퇴직연금 질문,회사에서 db형 과 dc형 중 db형을 운영하고 있는데dc형으로 하고싶은데회사에서는 안해주는 상황입니다.관련법을 찾아봤는데 강제할 방법은 안보이는것 같습니다.혹시 노사합의 말고 강제할수 있는 방법이 있을까요?,"난 연봉상승률보다 수익낼 자신이 없다
우리 db형이야? 둘 다 아니고 (구)퇴직금제도로 운영되는걸로 아는데...
아 ㅈㅅㅈㅅ 잘 몰랐음dc로 하고싶은데 안해주네요 ㅠ 
ㅠㅠ 그냥 회사껀 묻어두고 연저펀이나 하자...
회사에서 퇴직연금 계좌를 만들어야 그때부터 운영 될걸?그리고 DC는 퇴직금이 1년마다 확정되는 거라서 나중에 연봉 상승 따졌을 때 불리할 수도 있음 
ㅇㅇ 디비형이 좋음 특히나 요즘같은장은
irp로해
공무원연금 대상자들을 태그하시면 여기는 모릅니다...
",318,0,8,
4,06.18,자 다들 웃어요~,??: 오늘 드래스 코드 잘 맞췄네 ㅎㅎ,"
",732,4,1,
5,06.18,당신의 선택은?,A: 동전을 던져서 앞면이 나오면 4천만원을 받고 뒷면이 나오면 2천만원을 지불한다.B: 동전던지기 없이 1천만원을 받는다. 투표참여135 하나만 선택할 수 있습니다.,"당연 A아니냐;; 주식러 마인드가 아니네
주식에 물려있어서 통장에 2천만원이 없어천만원 받아서 물타야됨 
A를 10번하게 하면 A를 한다
B를 열 번 하면...?!
닥B
당연히 B다.리스크관리는 매우 중요한건데. A는 하이리턴 하이리스크잖아 
동전은 몇번 던질수 있냐. 동전 던지기 회당 비용은?
",316,3,7,
6,06.18,imf급 경제위기 가능성 없다고 생각하는 사람 많네,미국 80년대 파격적 금리상승기에 우리나라는 세계경제의 일원도 아니어서 언급할 가치도 없는 나라였지만이제 미국이 80년대와 같은 금리상승을 시행한다 하면 나는 imf 이상 가는 위기가 올수도 있겠다 싶음가진 자산 최대한 달러화 시켜놓고 회사에 딱붙어있는게 살길 아닐까,"그 당시엔 외화부채 듀레이션 개념도 없고 관리도 안하던 시절이니 그랬지... 어렵긴해도 기초체력은 많이 좋아졌어.
가계부채가 끼치는 영향은 있을까??
그땐 위에서 터질까봐 비밀리에 숨기고 있었던 사례고 지금은 전세계가 알고 대안을 강구하는 시장이기에 다르다고 판단이 되네요
그러기엔 그동안 대안없이 QE를 한거에 대한 응당 있어야할 후폭풍이 아닐까요
그 들만한 기업을 사면 되지 ㅈㄴ 쉬운거 아님? ㅋㅋㅋ 헛소리 그만혀
에너지 기업 제외한 eps 보니까 박살이던데...
예?... 마이크로소프트도 하향조정하는 판국에.... eps 도대체 어디가 늘어나요? 굉장히 소수일 거 같은데
어림도없어.. 지금 경제호황기야.. 인플레가 문제지
그건 아닌디요.. 이미 세계은행 보고서에서 스태그네이션에 접어들었음을 언급했는데..
미국 실업률 보고 오세요 경제는 너무 호황기 입니다요새 장사 안되는 기업 있어요? 요새 취업이 어렵나 개발자 몇백만명 모자르다고 하고일은 많은데 물가가 너무 많이 오르고 투자심리가 극심하니깐 일단 때려잡으려고 하는거지 
나도 IMF급이 다가 온다고 보는 사람중에 한명이야..달러 엔화 현금...확보지..빚있으면 빨리 최대한 줄여야지.내년 말까지는 견뎌보자 
숏을쳐 그런생각이면
내 의견은 숏도 아니고 그냥 자산가격이 고정된상태로 길게 지속될거라고 보는건데, 난 가치주나 달러를 사려고
테크주 숏은 칠만한거같은데 쫄보라
파월이 이제는 잘하고있네 인플레이션 기대심리 개박살 나고 있구나 
미친분석력.. 👍
나라가 망할때 부의재분배가 이뤄지고 부자될 기회가 온다.
그래서 어찌 준비해야하는데?
약한 반등 이후조만간 삼전 4.5만원코스피 1800 시대가 진짜 다시 오려나보네 다시 기업수난과 허리띠 졸라매야 하는 시대 도래하는 건가 
2000년대 초 개인신용 사태처럼 나올듯 코스피는 1800 밑에서 주워라
","1,052",3,28,
7,06.18,어휴.재테크 유튜브 힘들다 ㅠ,이거해라 저거해라 이거하지마라 저거하지마라초보자라 분별력 떨어지는 나한텐 너무 과한 정보의 홍수다이거해야될까 저거해야될까?? 너무 조급해지고 뒤처지는거같고 불안해지기만하고막상 선택지도 리스크도 먆아서 결정을못하겟다결국 아무것도 못하겟다차라리 책을볼까 ...?,"공부 부족이야더 정보에 노출해둘 필요가 있음 
선별할 능력이 부족하다는 뜻이니까 더 노출 필요나는 김단테, 슈카, 전인구 영상은 다봄가끔 미주은 보고 
그냥 무지성으로보면 선별능력생겨?
공부는 당연히 병행해야지PER, ROE 이런거나 계산식은 당연히 알지?? 
책부터봐
일단 질러!
걍 재미로 슈카형이나 보자요. 딴거보지말고 ㅋㅋ
뭘로공부해 그럼?
나능 일구형이랑 오팀장님꺼 몇년치 여러번 보면서 궁금한거 찾아보고 그랬어
책어떤거 봐야해
차트분석책데빌메이크라이,검은고양이차트 등등 필수임 
고마와
책보세요
",386,0,14,
8,06.18,우리사주로 물린 형들..앞으로 전략은 어케돼?,카뱅 카페 우리사주 산 형들.. 그냥 존버야??지금 다 공모가 아랜데ㅠㅠ중간에 퇴사하고 판 형들이 위너인가..글고 엔솔 공모주도 1년 도래쯤 어케될까,0,632,0,20,
9,,,,,,,,
10,06.18,반도체 진입타이밍,3달이내 온다하이닉스 밸류 역사적저점언저리,"난 이미 물렸어
우리 모두..
난 어제 soxl 들어감
삼전은요
나도 하닉 타점 째고있는데 언제부터 들어갈거야??
나는 금리 수준 못맞추면 국내자금 더 빠져나갈거라 생각함 ㅇㅇ 아마 0.5 인상 고려중일거고 어쩌면 0.75 올릴수도 있을텐데0.5 인상이면 며칠 보다가 들어가고0.75 인상이면 한두달 봐야되지않나 싶어 
금리 인상이 제대로 안되면 국내채권에서 자금 빠질거고국내주식에서 돈빼서 국내채권 가는 자금이 생길테니 
그것도 맞는것 같은데 주식시장은 이미 개차반 나서 크게 더 빠질것 같진 않거든..  더 빠지면 진짜 기회 of 기회인듯
soxl드가자
지금도 좋은데
",558,1,15,
11,06.18,TQQQ,어제 난생 첫 주식계좌를 만들고TQQQ를 10개 샀어요매일 10개씩 쭉 사보려구요적금만하고 쫄보라 그냥 그렇게 살다용기내봅니다,0,848,3,30,
12,06.18,7월달 금리 2.25 가는건 확정일것 같은데,그 이후로도 계속 75씩 올리려나다들 관점을 어떻게 보십니까?,"한국 기준금리 말씀이죠? 미쿡은 갈 듯 
CPI에게 물어보세요 ㅠ
7월 0.58월 0.5에 한표 
",454,1,3,
13,06.18,주린이 질문드려요,엔화가 많이 내려간것같아 투자하고 싶은데나스닥에서 엔화에 직간접적으로 투자 할수 있는 방법 있나요??,"구글에서 yen short etf, yen long etf 만 검색해도 나오네
감사합니다 ~
환전만 해놔도 뭐 투자지뭐
",148,1,3,
